tablescraper-selected-row,linkified,linkified href,tablescraper-selected-row href,grey
It was because of them I was able to travel to New York City later that week and tell some of the people who had a loved one murdered by al Qaeda on September 11: America has never forgotten your loss. Watch my full conversation with Bill:,https://t.co/XKR8xm8Xw8,http://t.co/XKR8xm8Xw8,https://twitter.com/BarackObama/status/1388116011367424000,"Apr 30, 2021"
"This week, Admiral Bill McRaven joined me to reflect on the operation against Osama bin Laden ten years ago. 

Looking back, I am grateful to Bill, his team, and the thousands of people across government, whose work made it possible for that mission to succeed.",https://t.co/XcRxpAJaea,http://t.co/XcRxpAJaea,https://twitter.com/BarackObama/status/1388115964202557441,"Apr 30, 2021"
"Bernie Wong was a trailblazer who spent her life advocating for Asian Americans and immigrant communities in Chicago and across the U.S. Her legacy of community leadership inspired me and so many others, and her impact will be felt for generations to come.",https://t.co/1s88ozW4xJ,http://t.co/1s88ozW4xJ,https://twitter.com/BarackObama/status/1387908687830949894,"Apr 29, 2021"
"During President @JoeBiden’s first 100 days, the economy has created more than 1 million jobs, more than 200 million shots have been administered, and we’re on our way to cutting child poverty in half. And as we saw last night, this is just the beginning.",https://t.co/T89Kxxd0WU,http://t.co/T89Kxxd0WU,https://twitter.com/BarackObama/status/1387897264711012357,"Apr 29, 2021"
States have just learned how many seats they have in Congress for the next decade. This process is an important step in making sure our maps—and electoral process—better reflect our communities. Get involved in the fight for fair maps with @AllOnTheLine:,https://t.co/hudtiWoZjW,http://t.co/hudtiWoZjW,https://twitter.com/BarackObama/status/1386801123076489224,"Apr 26, 2021"
"The world’s attention must remain on Myanmar, where I’ve been appalled by heartbreaking violence against civilians and inspired by the nationwide movement that represents the voice of the people.",https://t.co/zBkJqEeq0E,http://t.co/zBkJqEeq0E,https://twitter.com/BarackObama/status/1386757369540055040,"Apr 26, 2021"
"I love wandering into independent bookstores and discovering new voices and new authors. So on Independent Bookstore Day, I wanted to talk with some of the folks who help support authors and nourish our communities.",https://t.co/H8SqOV0nAa,http://t.co/H8SqOV0nAa,https://twitter.com/BarackObama/status/1385987279177531405,"Apr 24, 2021"
No challenge poses a greater threat to our planet and to future generations than climate change. I’m proud that the @ObamaFoundation supports young people leading this fight and that the Obama Presidential Center reflects our commitment to sustainability.,https://t.co/3SL3Dy50qU,http://t.co/3SL3Dy50qU,https://twitter.com/BarackObama/status/1385250797949181955,"Apr 22, 2021"
"Today, a jury did the right thing. But true justice requires much more. Michelle and I send our prayers to the Floyd family, and we stand with all those who are committed to guaranteeing every American the full measure of justice that George and so many others have been denied.",https://t.co/mihZQHqACV,http://t.co/mihZQHqACV,https://twitter.com/BarackObama/status/1384626851511951360,"Apr 20, 2021"
"With all the enormous challenges facing the world, it’s worth taking the time to appreciate extraordinary human achievement and our relentless impulse toward discovery.",https://t.co/MYjsH5SZ6a,http://t.co/MYjsH5SZ6a,https://twitter.com/BarackObama/status/1384532417353064450,"Apr 20, 2021"
"I want to share a new book, Power to the Public, that illustrates how nonprofits and governments can use technology to solve some of the most pressing issues of our time. It includes some good examples and is worth a read for anyone who cares about making change happen.",https://t.co/1la9TGUMTV,http://t.co/1la9TGUMTV,https://twitter.com/BarackObama/status/1384507401827725313,"Apr 20, 2021"
"RT @POTUS: Everyone 16 and older in America is eligible for the shot today. Go and get ‘em, folks.",,,https://twitter.com/BarackObama/status/1384507258726453249,"Apr 20, 2021"
"Walter Mondale championed progressive causes and changed the role of VP—so leaders like @JoeBiden could be the last ones in the room when decisions were made. In selecting Geraldine Ferraro, he also paved the way for @VP to make history. Michelle and I send prayers to his family.",,,https://twitter.com/BarackObama/status/1384328303239106568,"Apr 20, 2021"
Charles and @Shaq agree: we can all help end this pandemic by getting the COVID-19 vaccine. It's the only way to keep everyone safe and help us get back to all the things we miss most—from seeing family and friends to watching sports in person.,https://t.co/y2DlprGPds,http://t.co/y2DlprGPds,https://twitter.com/BarackObama/status/1383926520377270276,"Apr 18, 2021"
RT @MichelleObama: Barack and I started Higher Ground to give exciting new voices a platform to tell great stories. We're proud to share Se…,,,https://twitter.com/BarackObama/status/1383192474424905728,"Apr 16, 2021"
"After nearly two decades in Afghanistan, it’s time to recognize that we have accomplished all that we can militarily, and bring our remaining troops home. I support @POTUS’s bold leadership in building our nation at home and restoring our standing around the world.",https://t.co/BrDzASXD3G,http://t.co/BrDzASXD3G,https://twitter.com/BarackObama/status/1382405939697958912,"Apr 14, 2021"
Michelle and I are thrilled to be one step closer to bringing the Obama Presidential Center to the South Side of Chicago. We hope it will help lift up the South Side and breathe new life into Jackson Park and the surrounding communities.,https://t.co/IItJNFyoAp,http://t.co/IItJNFyoAp,https://twitter.com/BarackObama/status/1382340372119105537,"Apr 14, 2021"
You can find resources and ways to help here:,https://t.co/2KcB4T3b0I,http://t.co/2KcB4T3b0I,https://twitter.com/BarackObama/status/1381978746157203456,"Apr 13, 2021"
"Our hearts are heavy over yet another shooting of a Black man, Daunte Wright, at the hands of police. It’s important to conduct a full and transparent investigation, but this is also a reminder of just how badly we need to reimagine policing and public safety in this country.",https://t.co/sgcbRjlApr,http://t.co/sgcbRjlApr,https://twitter.com/BarackObama/status/1381978744257122311,"Apr 13, 2021"
