tablescraper-selected-row,tablescraper-selected-row href,grey,linkified,linkified href
RT @VP: It was good to meet members of the Maryland Air National Guard yesterday. They are saving lives every day by helping folks in Balti…,https://twitter.com/KamalaHarris/status/1388175577950085122,"Apr 30, 2021",,
President @JoeBiden and First Lady @DrBiden are in Georgia thanking supporters for all that they did to elect Democrats and change the course of our country. Watch live.,https://twitter.com/KamalaHarris/status/1387861341881393156,"Apr 29, 2021",https://t.co/oBuCGfEPU7,http://t.co/oBuCGfEPU7
100 days.,https://twitter.com/KamalaHarris/status/1387802508853141508,"Apr 29, 2021",https://t.co/M5ycQiwCFB,http://t.co/M5ycQiwCFB
"RT @VP: .@POTUS: ""America is on the move again. Turning peril into possibility. Crisis into opportunity. Setback into strength.""",https://twitter.com/KamalaHarris/status/1387606457844125698,"Apr 29, 2021",,
"RT @POTUS: If we are to truly restore the soul of America, then we need to protect the sacred right to vote.

Congress should pass H.R. 1 a…",https://twitter.com/KamalaHarris/status/1387591138257903631,"Apr 29, 2021",,
"RT @POTUS: 100 days ago, America’s house was on fire. We had to act, so we:

- Passed the American Rescue Plan
- Administered over 200 mill…",https://twitter.com/KamalaHarris/status/1387578073915199488,"Apr 29, 2021",,
"Help is here, and hope is here. America is getting back on track. Tune in as President @JoeBiden makes his first joint address to Congress.",https://twitter.com/KamalaHarris/status/1387573416681775106,"Apr 29, 2021",https://t.co/7SIx7TvWci,http://t.co/7SIx7TvWci
"RT @POTUS: To make tonight’s joint address accessible for all Americans, every White House livestream will have American Sign Language (ASL…",https://twitter.com/KamalaHarris/status/1387476520290111494,"Apr 28, 2021",,
"From checks in pockets to shots in arms—America is getting back on track. Now, we need your help sharing everything we’ve accomplished together. Sign up today to make calls directly to supporters:",https://twitter.com/KamalaHarris/status/1387156752039297027,"Apr 27, 2021",https://t.co/4TE9paiGhh,http://t.co/4TE9paiGhh
"RT @WhiteHouse: Today, the USDA announced a new effort funded by the American Rescue Plan to provide nutrition assistance to more than 30 m…",https://twitter.com/KamalaHarris/status/1386799217864318978,"Apr 26, 2021",,
RT @VP: The U.S. is working closely with the Indian government to rapidly deploy additional support and supplies during an alarming COVID-1…,https://twitter.com/KamalaHarris/status/1386417253130719232,"Apr 25, 2021",,
Get vaccinated. Wear a mask. Save lives.,https://twitter.com/KamalaHarris/status/1385707595370016771,"Apr 23, 2021",,
"RT @VP: I applaud the Senate for passing, with bipartisan support, Senator @MazieHirono’s COVID-19 Hate Crimes Act to address the surge in…",https://twitter.com/KamalaHarris/status/1385354115832852484,"Apr 22, 2021",,
"RT @VP: My mother was a scientist and raised me to appreciate the power of science. On this #EarthDay, I am proud that science is back in t…",https://twitter.com/KamalaHarris/status/1385281406612475908,"Apr 22, 2021",,
RT @POTUS: We can and we must do more to reduce the likelihood that tragedies like this will ever happen or occur again. To ensure that Bla…,https://twitter.com/KamalaHarris/status/1384907683527069697,"Apr 21, 2021",,
RT @VP: We are all part of George Floyd's legacy. And now our job is to honor it—to honor him.,https://twitter.com/KamalaHarris/status/1384663440443183107,"Apr 21, 2021",,
RT @WhiteHouse: Live: President Biden and Vice President Harris address the nation on the verdict in the trial of Derek Chauvin. https://t.…,https://twitter.com/KamalaHarris/status/1384645139839209473,"Apr 20, 2021",,
"RT @JoeBiden: Today, every adult is eligible to get a COVID-19 vaccine. Better days are ahead.",https://twitter.com/KamalaHarris/status/1384258217966850062,"Apr 19, 2021",,
RT @POTUS: Let me be clear: Every American has a right to clean drinking water. The American Jobs Plan will finally make that a reality by…,https://twitter.com/KamalaHarris/status/1383918378214064139,"Apr 18, 2021",,
RT @VP: Our nation grieves with the families who lost loved ones in Indianapolis and we pray that those who were wounded recover quickly. A…,https://twitter.com/KamalaHarris/status/1383171276752175110,"Apr 16, 2021",,
"RT @VP: The American Jobs Plan won't just create jobs. It will create good-paying union jobs, rebuilding our country stronger than it was b…",https://twitter.com/KamalaHarris/status/1382765101028155401,"Apr 15, 2021",,
"RT @WhiteHouse: Since taking office, the Biden-Harris Administration has increased daily vaccinations from 900k to 3.3 million. We’re commi…",https://twitter.com/KamalaHarris/status/1382431253564162050,"Apr 14, 2021",,
"RT @VP: Nearly 10 million Americans are still unemployed. With a once-in-a-generation investment in our country’s infrastructure, the Ameri…",https://twitter.com/KamalaHarris/status/1382026861568475136,"Apr 13, 2021",,
"RT @VP: Every American who wants a job that pays fairly, and one where they can do meaningful work, deserves it. I wrote about how the Amer…",https://twitter.com/KamalaHarris/status/1381712419597221889,"Apr 12, 2021",,
RT @VP: No child should have to drink water poisoned by lead. The American Jobs Plan will replace 100 percent of lead service lines in our…,https://twitter.com/KamalaHarris/status/1381358843729436672,"Apr 11, 2021",,
"RT @POTUS: Universal background checks are supported by the vast majority of Americans — and the majority of gun owners.

So let’s be clear…",https://twitter.com/KamalaHarris/status/1380585692061908993,"Apr 09, 2021",,
