tablescraper-selected-row,tablescraper-selected-row href,grey,linkified,linkified href
Let me be clear: No one should have to choose between a paycheck and taking care of themselves or their loved ones. The American Families Plan will finally provide up to 12 weeks of paid family and medical leave for every American.,https://twitter.com/POTUS/status/1388242134168395778,"Apr 30, 2021",,
"We have a once-in-a-generation opportunity to position Amtrak — and rail in general — to play a central role in our transportation and economic future. To make the investments that can help get America back on track.
 
That’s exactly what the American Jobs Plan will do.",https://twitter.com/POTUS/status/1388213331505340419,"Apr 30, 2021",,
Join me at Philadelphia’s 30th Street Station as we celebrate Amtrak’s 50th Anniversary.,https://twitter.com/POTUS/status/1388202932198416388,"Apr 30, 2021",https://t.co/HuPetlGvaU,http://t.co/HuPetlGvaU
"This is a birthday I certainly wouldn’t miss. 

Looking forward to celebrating Amtrak’s 50th in Philadelphia later today.",https://twitter.com/POTUS/status/1388147224849358848,"Apr 30, 2021",https://t.co/DNgpgU3sjX,http://t.co/DNgpgU3sjX
"This week, I introduced the American Families Plan. It’s a historic bill that will make transformational investments in families and rebuild the backbone of this country — the middle class. I asked Susan Rice, Domestic Policy Advisor, to explain more:",https://twitter.com/POTUS/status/1388130944473776133,"Apr 30, 2021",https://t.co/Hxcpmexko6,http://t.co/Hxcpmexko6
"I will not add to the tax burden of the middle class of this country. They’re already paying enough. What I’ve proposed is fair, and it’s fiscally responsible.",https://twitter.com/POTUS/status/1387838818699595785,"Apr 29, 2021",https://t.co/5jS2lUECbK,http://t.co/5jS2lUECbK
Trickle-down economics has never worked.,https://twitter.com/POTUS/status/1387764913448308742,"Apr 29, 2021",https://t.co/PkuqpWnrBK,http://t.co/PkuqpWnrBK
Madam Speaker. Madam Vice President. No president has ever said those words from this podium — and it’s about time.,https://twitter.com/POTUS/status/1387748643202031618,"Apr 29, 2021",https://t.co/w8yeiJlhfD,http://t.co/w8yeiJlhfD
"Today marks 100 days since Vice President Harris and I took office, and we’ve been building back better every day since.",https://twitter.com/POTUS/status/1387738166560493568,"Apr 29, 2021",https://t.co/F0V0ddrg24,http://t.co/F0V0ddrg24
"It’s never been a good bet to bet against America — and it still isn’t.
 
We are the United States of America. There is nothing we can’t do if we do it together.",https://twitter.com/POTUS/status/1387623988214566915,"Apr 29, 2021",https://t.co/WGlXhZJkQG,http://t.co/WGlXhZJkQG
"After 100 days of rescue and renewal, America is ready for takeoff.

We are working again. Dreaming again. Discovering again. Leading the world again.

We have shown each other and the world: There is no quit in America.",https://twitter.com/POTUS/status/1387604675176943616,"Apr 29, 2021",https://t.co/1R3mZAWGWl,http://t.co/1R3mZAWGWl
"Tonight, I introduced the American Families Plan — an ambitious, once-in-a-generation investment to rebuild the middle class and invest in America’s future. Learn more:",https://twitter.com/POTUS/status/1387601028686696452,"Apr 29, 2021",https://t.co/9LHFuAWJsM,http://t.co/9LHFuAWJsM
"We’re vaccinating the nation.

We’re creating hundreds of thousands of jobs.

We’re delivering real results people can see and feel in their own lives. Opening the doors of opportunity. Guaranteeing fairness and justice.",https://twitter.com/POTUS/status/1387589822953443331,"Apr 29, 2021",,
"If we are to truly restore the soul of America, then we need to protect the sacred right to vote.

Congress should pass H.R. 1 and the John Lewis Voting Rights Act and send them to my desk right away.",https://twitter.com/POTUS/status/1387589355066306567,"Apr 29, 2021",,
