tablescraper-selected-row,linkified,linkified href,tablescraper-selected-row href,grey
"For Poland, as for other Visegrad Group countries, keeping the @EastPartnership high on the #EU agenda has always been important due to its role in stabilising and promoting economic progress in Eastern Europe – said FM @RauZbigniew.

More➡️",https://t.co/qnmFQOX3aZ,http://t.co/qnmFQOX3aZ,https://twitter.com/PolandMFA/status/1388071065558126592,"Apr 30, 2021"
RT @PLinNATO: Poland’s 🇵🇱 Deputy Foreign Minister @SzSz_velSek on #NATO new Strategic Concept: we need to deal w/ new security challenges l…,,,https://twitter.com/PolandMFA/status/1387785848813498368,"Apr 29, 2021"
"Dep. FM @SzSz_velSek held consultations in the 📽️-conference formula with Peter Launsky-Tieffenthal, Secretary General at the 🇦🇹 MFA.

The subjects of the talks were, among others, bilateral agenda, European issues and Belarus.",https://t.co/yZmlCCQLwB,http://t.co/yZmlCCQLwB,https://twitter.com/PolandMFA/status/1387776960705740800,"Apr 29, 2021"
"Two plenary sessions of the #V4 - #EaP meeting took place today with the participation of 🇪🇺 Commissioner @OliverVarhelyi, @eu_eeas representatives and 🇫🇮 🇵🇹 🇸🇪 FMs.
 
Among the subjects were security, the current situation and the future of the @EastPartnership area.
#PLV4Pres",https://t.co/zYMZH5pOv1,http://t.co/zYMZH5pOv1,https://twitter.com/PolandMFA/status/1387758596482650120,"Apr 29, 2021"
RT @PLinEstonia: Dep. FM @paweljabIonski underlined the strategic importance of #ThreeSeas Initiative and its compatibility with long-term…,,,https://twitter.com/PolandMFA/status/1387757496144650251,"Apr 29, 2021"
"The meeting of the FMs of #V4 and #EaP countries started today with the V4 coordination session led by FM @RauZbigniew.

The aim of the consultations is to initiate the debate on security issues and the future of EaP before its summit in October. 

#PLV4Pres 🇵🇱🇨🇿🇭🇺🇸🇰",https://t.co/99lMCpqS80,http://t.co/99lMCpqS80,https://twitter.com/PolandMFA/status/1387697813358796800,"Apr 29, 2021"
"FM @RauZbigniew held a phone call with @WFPChief David Beasley on food security in times of the #COVID19 pandemic.

Poland 🇵🇱 will support @WFPYemen in the amount of PLN 1 mln to purchase food for famine-stricken Yemen 🇾🇪.

#PolishAid",https://t.co/F1xRXKlGWJ,http://t.co/F1xRXKlGWJ,https://twitter.com/PolandMFA/status/1387394054074286089,"Apr 28, 2021"
"Today FM @RauZbigniew received @OliverVarhelyi, 🇪🇺EU Commissioner for Neighborhood and Enlargement.

Main topics:
🔹@EastPartnership Summit 2021
🔹EU support for 🇺🇦 in the context of aggressive policies of 🇷🇺
🔹situation in #Belarus
🔹reviving the EU enlargement policy",https://t.co/NZwOHb5vyw,http://t.co/NZwOHb5vyw,https://twitter.com/PolandMFA/status/1387095486981627906,"Apr 27, 2021"
"Deputy FM @SzSz_velSek participated today in VTC 🖥️of #V4 ambassadors 🇨🇿🇭🇺🇵🇱 🇸🇰 in Bern.

During the meeting, selected issues concerning #VisegradGroup and 🇵🇱 presidency in #V4 were discussed. The issues of 🇵🇱-🇨🇭 and 🇪🇺-🇨🇭 relations were also raised.",https://t.co/YVZ4HXlTr8,http://t.co/YVZ4HXlTr8,https://twitter.com/PolandMFA/status/1387094532899155969,"Apr 27, 2021"
"Today FM @RauZbigniew  held a farewell meeting with the 🇮🇳 Ambassador Tsewang Namgyal who is completing his diplomatic mission to 🇵🇱.

The minister emphasized the excellent 🇵🇱-🇮🇳 political relations and the enormous potential for their further development.",https://t.co/Yrr8vRU2oN,http://t.co/Yrr8vRU2oN,https://twitter.com/PolandMFA/status/1387011203369775107,"Apr 27, 2021"
