tablescraper-selected-row,tablescraper-selected-row href,grey
"In life, the worst anxiety, arises from the sensation of not being able to cope. We need Jesus’ help. And so we can say to Him: “Jesus, I believe you are beside me and that you are listening to me. I bring to you my troubles. I have faith in you and I entrust myself to you”.",https://twitter.com/Pontifex/status/1388093271944093697,"Apr 30, 2021"
"The Christian journey begins from the grace of receiving mercy. If we trust in our own abilities, in the efficiency of our structures and projects, we will not go far. Only if we accept the love of God, will we be able to offer something new to the world.",https://twitter.com/Pontifex/status/1387730885026455555,"Apr 29, 2021"
"There is no page of the Gospel on which there is no place for us. For us Christians, meditating is a way of coming into contact with Jesus. And in this way, only in this way, can we discover ourselves. #Prayer #GeneralAudience",https://twitter.com/Pontifex/status/1387368496338776066,"Apr 28, 2021"
"In daily life, we can find the Risen One in the faces of our brothers and sisters above all in the poor and those on the fringes.  We will be amazed how the greatness of God is revealed in littleness, how his beauty shines forth in the poor and simple.",https://twitter.com/Pontifex/status/1387006109408444419,"Apr 27, 2021"
"Let’s not wait for our neighbours to be good before we are good to them, for others to respect us before we serve them. Let’s begin with ourselves.",https://twitter.com/Pontifex/status/1386643721588932611,"Apr 26, 2021"
"I am extremely sad over the tragedy that has once again taken place in the Mediterranean. 130 migrants died in the sea. They are people. They are human beings. Let us pray for these brothers and sisters, and for all those who continue to die in these tragic crossings.",https://twitter.com/Pontifex/status/1386326631619334148,"Apr 25, 2021"
"As the Good Shepherd, Jesus consoles his shepherds. If you remain close to the Lord, to the bishop, among yourselves, and to the people of God; if you maintain God's style - nearness, compassion and tenderness - you need not be afraid: everything will go well. #PriestlyOrdination",https://twitter.com/Pontifex/status/1386296432085327876,"Apr 25, 2021"
"Jesus the #GoodShepherd defends, knows, and above all loves his sheep. This is why He gives His life for them. Love for his sheep, for each one of us, would lead him to die on the cross. For this is the Father’s will: that no one should be lost. #GospelOfTheDay (Jn 10:11-18)",https://twitter.com/Pontifex/status/1386281333513543683,"Apr 25, 2021"
"Do not be afraid: these are words the Lord addresses to you, dear sister and brother, whenever you feel you can no longer delay your desire to give your life to him. It is a refrain accompanying all who say yes to God with their lives, through daily fidelity. #Prayer #Vocations",https://twitter.com/Pontifex/status/1386256166997696515,"Apr 25, 2021"
"St Joseph is an outstanding example of accepting God’s plans. May he help everyone, especially those who are discerning, to make God’s dreams for them come true. May he grant them the courage to say “yes” to the Lord who always surprises and never disappoints. #Prayer #Vocations",https://twitter.com/Pontifex/status/1386253650155163649,"Apr 25, 2021"
"The Lord wants to shape the hearts of fathers and mothers to be open, capable of great initiatives, generous, compassionate in comforting anxieties and steadfast in strengthening hopes. The priesthood and consecrated life greatly need these qualities. #Prayer #Vocations",https://twitter.com/Pontifex/status/1386251133660790784,"Apr 25, 2021"
"How do we prevent conflicts? No people, no social group, can single-handedly achieve #peace, prosperity, security and happiness. None. The lesson learned from the recent pandemic is the awareness that we are a global community, all in the same boat. #DiplomacyForPeace",https://twitter.com/Pontifex/status/1385888746726252545,"Apr 24, 2021"
"The Lord of life wants us to be full of life, and he tells us the secret of life: we come to possess it only by giving it away.",https://twitter.com/Pontifex/status/1385556557077696515,"Apr 23, 2021"
"The fullness of life and of joy is found by giving oneself for the Gospel and for our brothers and sisters, with openness, welcoming and goodness.",https://twitter.com/Pontifex/status/1385194170122346504,"Apr 22, 2021"
"We have broken the bonds of our relationship with the Creator, with our fellow human beings, and with the rest of creation. We need to heal the damaged relationships that are essential to supporting us and the entire fabric of life. #EarthDay",https://twitter.com/Pontifex/status/1385171520629137412,"Apr 22, 2021"
Let us not abandon the simple prayers we learned in our families as children that we preserve in our memories and hearts. They are sure ways to access the Father's heart. #Prayer #GeneralAudience,https://twitter.com/Pontifex/status/1384831781434630155,"Apr 21, 2021"
"For God, you are that little coin that the Lord seeks without pause. He wants to tell you that you are precious and unique in His eyes. No one can take your place in the heart of God.",https://twitter.com/Pontifex/status/1384469395510988806,"Apr 20, 2021"
"God does not give up. You are close to His heart, you who do not yet know the beauty of His love, you who have not yet welcomed Jesus as the center of your life, you who cannot overcome your sin.",https://twitter.com/Pontifex/status/1384107009117593602,"Apr 19, 2021"
"I invite you to pray for the population of eastern Ukraine. I truly hope that an escalation of the tensions might be avoided and, instead, that actions capable of promoting reciprocal trust and which foster reconciliation and peace might be undertaken.",https://twitter.com/Pontifex/status/1383759717982371849,"Apr 18, 2021"
Being Christian is not first of all a doctrine or a moral ideal; it is a living relationship with the Risen Lord. #GospelOfTheDay,https://twitter.com/Pontifex/status/1383729519236894720,"Apr 18, 2021"
"Only the love of Jesus can transform our life, heal our deepest hurts and set us free from the vicious circles of disappointment, anger and constant complaint.",https://twitter.com/Pontifex/status/1383382230815305731,"Apr 17, 2021"
"Sadly, in this world, with all its highly developed technology, great numbers of children continue to live in inhuman situations, exploited, maltreated, enslaved, refugees. Today, in acknowledging this, we feel shame before God, before God who became a child. #EndChildSlavery",https://twitter.com/Pontifex/status/1383034226946273286,"Apr 16, 2021"
"Even death trembles when a Christian prays, because it knows that everyone who prays has an ally who is stronger than it: the Risen Lord. #Prayer #Easter",https://twitter.com/Pontifex/status/1382657455939796996,"Apr 15, 2021"
The breath of faith is #prayer: we grow in faith inasmuch as we learn to pray. #GeneralAudience,https://twitter.com/Pontifex/status/1382295068325777411,"Apr 14, 2021"
"In the midst of the contradictions and perplexities we must confront each day, the din of so many words and opinions, there is the quiet voice of the Risen Lord who keeps saying to us: “Peace be with you!”",https://twitter.com/Pontifex/status/1381932678824464384,"Apr 13, 2021"
