tablescraper-selected-row,tablescraper-selected-row href,grey,linkified,linkified href
The Earl praised the Kingfisher Farm team for going above and beyond to support the community over the past year and congratulated all involved in this year’s #SurreyDay celebrations.,https://twitter.com/RoyalFamily/status/1388210883101331458,"Apr 30, 2021",,
"His Royal Highness also heard from employees who have adapted their work during  to serve their community and customers this year. 

The Earl met Netty MacKay who has delivered vegetable boxes and flowers in Kingfisher’s new electric van throughout lockdown.",https://twitter.com/RoyalFamily/status/1388210655099068419,"Apr 30, 2021",https://t.co/oVdf7ZCcjl,http://t.co/oVdf7ZCcjl
"At the family run Kingfisher Farm Shop, The Earl helped pick fresh watercress before joining the Head Chef from the neighbouring Abinger Cookery School, to use it to prepare a delicious pesto.",https://twitter.com/RoyalFamily/status/1388210223094063104,"Apr 30, 2021",https://t.co/VfSgPtbXMq,http://t.co/VfSgPtbXMq
"Today the Earl of Wessex visited Kingfisher Farm Shop in Abinger Hammer, Surrey, ahead of #SurreyDay on the 1st May, led by @VisitSurrey. 

Surrey Day, which is now in its third year, is a celebration of the County as a great place to live, work and visit.",https://twitter.com/RoyalFamily/status/1388209921087451141,"Apr 30, 2021",https://t.co/YDhcwlVhr8,http://t.co/YDhcwlVhr8
"RT @ukorbis: We recently hosted @RoyalFamily HRH The Countess of Wessex at a virtual event. As a Global Ambassador for @IAPB1, we were hono…",https://twitter.com/RoyalFamily/status/1388186991876005888,"Apr 30, 2021",,
"The Queen has sent a message of condolence to the President of Israel, following the disaster at the Lag B’Omer festival in Meron, Israel.",https://twitter.com/RoyalFamily/status/1388165455324581889,"Apr 30, 2021",https://t.co/Ayg7tMttRB,http://t.co/Ayg7tMttRB
"RT @ParkinsonsUK: 💙Volunteers and carers do an 𝗶𝗻𝗰𝗿𝗲𝗱𝗶𝗯𝗹𝗲 𝗷𝗼𝗯 supporting those living with #Parkinsons.

We’re grateful that our Patron, Th…",https://twitter.com/RoyalFamily/status/1388082637286350849,"Apr 30, 2021",,
"RT @CureParkinsonsT: Cure Parkinson's patron @miketindall13 and The Duchess of Gloucester, patron of @ParkinsonsUK joined forces earlier th…",https://twitter.com/RoyalFamily/status/1388082568126517249,"Apr 30, 2021",,
"During lockdown, Doreen was one of many @ParkinsonsUK volunteers who found creative ways to reach out to the community - by organising a cream tea delivery service for local support group members! 

📸 Doreen, Bill and the Redcar group on the 2019 Walk for @ParkinsonsUK Research.",https://twitter.com/RoyalFamily/status/1388060529596506115,"Apr 30, 2021",https://t.co/pVfcpwHGgJ,http://t.co/pVfcpwHGgJ
"The Duchess of Gloucester has kept in touch with @ParkinsonsUK during the pandemic, as the charity deployed its network of over 3,000 volunteers. 

📸 Volunteer Doreen has been involved in the Redcar @ParkinsonsUK support group since 2012, after her late husband Bill’s diagnosis.",https://twitter.com/RoyalFamily/status/1388060402379071488,"Apr 30, 2021",https://t.co/fvDJIMKV2S,http://t.co/fvDJIMKV2S
