tweet,linkified,linkified href,tablescraper-selected-row href,grey
"A quarter of UK adults have received 2 doses of a COVID vaccine, giving them maximum protection against the virus. 

This is a huge achievement made possible by the tireless work of so many across our country. 

Please keep coming forward to get vaccinated when you are called.",https://t.co/yDPkehJJNV,http://t.co/yDPkehJJNV,https://twitter.com/BorisJohnson/status/1387042037564772359,"Apr 27, 2021"
"Fantastic news that 16,500 young people have now started jobs through our Kickstart scheme. 

These fully-subsidised placements for 16 to 24-year-olds offer a vital first foot on the jobs ladder.
 
Find out more about the scheme and how to get involved:",https://t.co/XYOPwZ1V61,http://t.co/XYOPwZ1V61,https://twitter.com/BorisJohnson/status/1386979231079469056,"Apr 27, 2021"
"Fantastic to be in Wales today, campaigning with our @WelshConserv candidates. 

The team have a plan to drive forward Wales' economic recovery, creating 65,000 new, well-paid jobs and investing in infrastructure like the A55.

Vote Conservative on May 6th.",https://t.co/OKfslGXy5d,http://t.co/OKfslGXy5d,https://twitter.com/BorisJohnson/status/1386748521706135559,"Apr 26, 2021"
"Iran's decision to sentence Nazanin Zaghari-Ratcliffe to another year in prison is cruel, inhumane and wholly unjustified. She must be allowed to return to her family in the UK and we will continue to do all we can to get her home.",,,https://twitter.com/BorisJohnson/status/1386680217570271235,"Apr 26, 2021"
We stand side by side with India in the shared fight against COVID-19. Vital medical equipment is on its way from the UK to India to help stop the tragic loss of life from the virus and we’ll continue to work closely with the Indian government during this difficult time.,,,https://twitter.com/BorisJohnson/status/1386340882086047753,"Apr 25, 2021"
"This is the story of the UK vaccine rollout which has already saved thousands of lives.

A huge thank you to everyone involved from the scientists, to our NHS, the Armed Forces and the many volunteers. 

I urge everyone to take up the jab when you’re offered it.",https://t.co/sXWzG952pG,http://t.co/sXWzG952pG,https://twitter.com/BorisJohnson/status/1386275991023149063,"Apr 25, 2021"
"Today we pay our respects to the ANZACs who fought at Gallipoli, and remember all those who have fought with courage so that we may live in peace today. Their bravery, fortitude & spirit of mateship live on. 
 
They will not be forgotten. #AnzacDay2021",,,https://twitter.com/BorisJohnson/status/1386228979510689794,"Apr 25, 2021"
"RT @10DowningStreet: A Beacon of Hope: The UK Vaccine Story.
 
 📽️ Watch below or on Youtube:  …",https://t.co/C0ETBduoTN,http://t.co/C0ETBduoTN,https://twitter.com/BorisJohnson/status/1385663151698583554,"Apr 23, 2021"
"The UK is hosting a Global Education Summit this summer and leading efforts in our @G7 Presidency to get 40 million more girls into school.
 
I spoke to @Malala this morning about how girls education is one of the smartest investments countries can make as we build back better.",,,https://twitter.com/BorisJohnson/status/1385602160856031232,"Apr 23, 2021"
"This is a landmark achievement by the team at @UniofOxford who developed the COVID-19 vaccine.
 
Malaria kills hundreds of thousands of children a year. An effective vaccine holds out the possibility of ending this global tragedy.",https://t.co/9ZiKfzO27s,http://t.co/9ZiKfzO27s,https://twitter.com/BorisJohnson/status/1385586383880921090,"Apr 23, 2021"
"I welcome the Court of Appeal's decision to overturn the convictions of 39 former sub-postmasters in the Horizon dispute, an appalling injustice which has had a devastating impact on these families for years.

Lessons should and will be learnt to ensure this never happens again.",,,https://twitter.com/BorisJohnson/status/1385550075498278921,"Apr 23, 2021"
Happy St. George's Day! 🏴󠁧󠁢󠁥󠁮󠁧󠁿,https://t.co/ivCHymH0UP,http://t.co/ivCHymH0UP,https://twitter.com/BorisJohnson/status/1385505408933109760,"Apr 23, 2021"
"The world’s tropical forests are the lungs of our planet and yet we’re losing these great, teeming ecosystems at an unconscionable rate. 
 
I’m pleased the UK is joining this hugely exciting coalition to protect our tropical forests and tackle climate change.",https://t.co/qb65SDhXX9,http://t.co/qb65SDhXX9,https://twitter.com/BorisJohnson/status/1385298017679458306,"Apr 22, 2021"
"Our shared duty is to honour and remember all those, wherever they lived and whatever their background, who laid down their lives for our freedoms at the moment of greatest peril.

My statement on the Commonwealth War Graves Commission report.",https://t.co/ft6LxGzGPh,http://t.co/ft6LxGzGPh,https://twitter.com/BorisJohnson/status/1385279862219448323,"Apr 22, 2021"
"We can build back better from this pandemic by building back greener.
 
#LeadersClimateSummit",https://t.co/Uu9Xc8gr6d,http://t.co/Uu9Xc8gr6d,https://twitter.com/BorisJohnson/status/1385252216500637699,"Apr 22, 2021"
"Let’s make this decade the moment of decisive change in the fight against climate change.
 
My statement at the #LeadersClimateSummit convened by @POTUS: 

#BuildBackGreener | @COP26 | #EarthDay",https://t.co/HJhYmwRWMc,http://t.co/HJhYmwRWMc,https://twitter.com/BorisJohnson/status/1385241131257155589,"Apr 22, 2021"
WATCH LIVE: My statement at the #LeadersClimateSummit convened by @POTUS,https://t.co/wlpoFbvwcv,http://t.co/wlpoFbvwcv,https://twitter.com/BorisJohnson/status/1385209931419291649,"Apr 22, 2021"
"The commitment from @POTUS today to cut US emissions by 50-52% by 2030 is a game-changer. It will have a transformative impact in the global fight against climate change. 

I commend the President's leadership and look forward to working together for our planet ahead of @COP26.",,,https://twitter.com/BorisJohnson/status/1385209821465559045,"Apr 22, 2021"
"In supporting #StephenLawrenceDay we are reminded of Stephen's many talents, and our duty to stop racism and give young people the best possible future.
 
My thoughts are with Stephen’s parents Doreen and Neville, and the many families that have lost loved ones in their prime.",,,https://twitter.com/BorisJohnson/status/1385156621354086400,"Apr 22, 2021"
"We've reached a significant milestone with 1 in 5 adults now having had two COVID-19 vaccine doses. This is a huge UK-wide effort that has already saved thousands of lives. 

Thank you to everyone involved.",https://t.co/pGoSpyMC1O,http://t.co/pGoSpyMC1O,https://twitter.com/BorisJohnson/status/1384953783818522627,"Apr 21, 2021"
"I would like to send my warm wishes to Her Majesty The Queen on her 95th birthday.

I have always had the highest admiration for Her Majesty and her service to this country and the Commonwealth.

I am proud to serve as her Prime Minister.",,,https://twitter.com/BorisJohnson/status/1384753875031404544,"Apr 21, 2021"
"I welcome last night’s announcement. This is the right result for football fans, clubs, and communities across the country. We must continue to protect our cherished national game.",,,https://twitter.com/BorisJohnson/status/1384741796664823808,"Apr 21, 2021"
"I was appalled by the death of George Floyd and welcome this verdict.

My thoughts tonight are with George Floyd’s family and friends.",,,https://twitter.com/BorisJohnson/status/1384629466400444418,"Apr 20, 2021"
"The decision by Chelsea and Manchester City is – if confirmed – absolutely the right one and I commend them for it.

I hope the other clubs involved in the European Super League will follow their lead.",,,https://twitter.com/BorisJohnson/status/1384595650982162437,"Apr 20, 2021"
"The vaccination programme has shown what the UK can achieve when we bring together our brightest minds. 

Our new Antivirals Taskforce will seek to provide another vital defence against any future increase in infections, saving more lives.",https://t.co/VpGnxPr6bf,http://t.co/VpGnxPr6bf,https://twitter.com/BorisJohnson/status/1384548333025472516,"Apr 20, 2021"
WATCH LIVE: An update on coronavirus (20 April 2021),https://t.co/sj7DxbLrGT,http://t.co/sj7DxbLrGT,https://twitter.com/BorisJohnson/status/1384536881900236803,"Apr 20, 2021"
"We’re setting the most ambitious target to cut emissions in the world. 

We want to see world leaders follow our lead in the run up to @COP26, as we will only build back greener and protect our planet if we come together to take action.",https://t.co/EvQhLDGbEx,http://t.co/EvQhLDGbEx,https://twitter.com/BorisJohnson/status/1384519333133627395,"Apr 20, 2021"
"Earlier @OliverDowden and I met with representatives from the @FA, @PremierLeague and football fan groups to discuss action against the proposed European Super League. 
 
No action is off the table and we are exploring every possibility to ensure these proposals are stopped.",https://t.co/QZMGRnXDcF,http://t.co/QZMGRnXDcF,https://twitter.com/BorisJohnson/status/1384489347353698304,"Apr 20, 2021"
RT @Conservatives: We're helping people get on the housing ladder with just a 5% deposit through the new Government backed mortgage guarant…,,,https://twitter.com/BorisJohnson/status/1384425030348587008,"Apr 20, 2021"
"It’s fantastic that we’ve been able to enjoy some more freedoms with family and friends since 12 April.

As we continue with our cautious roadmap, please follow the rules and remember hands, face, space and fresh air.",https://t.co/qdqBlX7K5l,http://t.co/qdqBlX7K5l,https://twitter.com/BorisJohnson/status/1384223330694156289,"Apr 19, 2021"
"Great to be back at the pub again, and to see so many reunited with friends and family. 
 
We’ve worked so hard to get to this point. Let’s keep going. Remember hands, face, space & fresh air.",https://t.co/g3ApAkpNNM,http://t.co/g3ApAkpNNM,https://twitter.com/BorisJohnson/status/1384151484451811334,"Apr 19, 2021"
The clubs involved must answer to their fans and the wider footballing community before taking any further steps. (2/2),,,https://twitter.com/BorisJohnson/status/1383865357828452353,"Apr 18, 2021"
"Plans for a European Super League would be very damaging for football and we support football authorities in taking action. 

They would strike at the heart of the domestic game, and will concern fans across the country. (1/2)",,,https://twitter.com/BorisJohnson/status/1383865356364640259,"Apr 18, 2021"
"In Memoriam HRH The Prince Philip, Duke of Edinburgh, 1921-2021.",https://t.co/QoKgxOYnt5,http://t.co/QoKgxOYnt5,https://twitter.com/BorisJohnson/status/1383440923586023432,"Apr 17, 2021"
"RT @10DowningStreet: The Prime Minister paid tribute to His Royal Highness The Prince Philip, Duke of Edinburgh yesterday at Britannia Roya…",,,https://twitter.com/BorisJohnson/status/1383037480463704064,"Apr 16, 2021"
"HRH The Duke of Edinburgh incarnated the finest traditions of the @RoyalNavy. 

Today I saw cadets become officers at Britannia Royal Naval College, Dartmouth, the college The Duke passed out of prior to his distinguished naval career.
 
Our thoughts remain with HM The Queen.",https://t.co/ANHtrpD2Y4,http://t.co/ANHtrpD2Y4,https://twitter.com/BorisJohnson/status/1382702431621033992,"Apr 15, 2021"
"Happy Vaisakhi to Sikhs in Britain and around the world.
 
#Vaisakhi signals hope and renewal, and as we look ahead – cautiously but optimistically – to what the coming months may bring, I want to say a huge thank you to Sikhs for your forbearance and fortitude.",https://t.co/RAByjFfIZb,http://t.co/RAByjFfIZb,https://twitter.com/BorisJohnson/status/1381986970587512833,"Apr 13, 2021"
"Congratulations to @JoeMurphyLondon on a well-earned retirement after a spectacular innings in the lobby. 

You were always as fair and as kind as you could be under the circumstances.

I wish you all the best for the future.",,,https://twitter.com/BorisJohnson/status/1381970505406640129,"Apr 13, 2021"
"We have hit a hugely significant milestone by offering jabs to everyone in the nine highest risk groups, giving them the protection vaccines provide against COVID-19.
 
I want to thank everyone involved in the vaccine rollout, which has already saved many thousands of lives.",https://t.co/VQWo9axoLG,http://t.co/VQWo9axoLG,https://twitter.com/BorisJohnson/status/1381905391680954370,"Apr 13, 2021"
"Ramadan Mubarak to all those observing Islam’s holiest month this year. 
 
I’m afraid that again this year it is necessary to follow the rules to stay safe but I hope this month of fast, prayer and charity brings much peace and reflection to all Muslims.",,,https://twitter.com/BorisJohnson/status/1381694855756271627,"Apr 12, 2021"
"Earlier I paid tribute to HRH The Prince Philip, Duke of Edinburgh in the @HouseOfCommons.
 
The Duke's unstinting service gives us all a model of selflessness and of putting others before ourselves.",https://t.co/Tq9lH2up3I,http://t.co/Tq9lH2up3I,https://twitter.com/BorisJohnson/status/1381674621284589569,"Apr 12, 2021"
I spent many happy hours sparring with her on Question Time. She will be much missed. (2/2),,,https://twitter.com/BorisJohnson/status/1381660076184895502,"Apr 12, 2021"
"Sad to hear about Baroness Shirley Williams, a kind and thoughtful member of the once radical centre left. Even when we disagreed - as we often did - she had the gift of sounding so completely reasonable at all times. (1/2)",,,https://twitter.com/BorisJohnson/status/1381660074943389697,"Apr 12, 2021"
"Yesterday was a record-breaking day with 475,230 people receiving second doses. More than 7 million have now been fully vaccinated. 

Thanks to everyone involved in this extraordinary effort which has already saved thousands of lives.",,,https://twitter.com/BorisJohnson/status/1381345419314204674,"Apr 11, 2021"
"Today is ten years since the death of my friend Sir Simon Milton, an outstanding servant of London and of his country. We miss you, Simon.",,,https://twitter.com/BorisJohnson/status/1381247228010971136,"Apr 11, 2021"
"My statement on the death of HRH The Prince Philip, Duke of Edinburgh.",https://t.co/cjlSsERXPV,http://t.co/cjlSsERXPV,https://twitter.com/BorisJohnson/status/1380521227354263554,"Apr 09, 2021"
"On the death of HRH The Prince Philip, Duke of Edinburgh.",https://t.co/rZlbY1matF,http://t.co/rZlbY1matF,https://twitter.com/BorisJohnson/status/1380489330188226561,"Apr 09, 2021"
"The science is clear: vaccines save lives. 
 
New @PHE_UK analysis shows COVID-19 vaccinations have prevented over 10,000 deaths.
 
It’s important that you book your jab when the NHS contacts you.

➡️",https://t.co/YxlPKeUKn5,http://t.co/YxlPKeUKn5,https://twitter.com/BorisJohnson/status/1380429823353499648,"Apr 09, 2021"
Last night in Truro I saw the outstanding work of doctors and nurses at the Royal Cornwall Hospital. Thank you to the entire team and the whole of our NHS 👇,https://t.co/bKGVSWeaaJ,http://t.co/bKGVSWeaaJ,https://twitter.com/BorisJohnson/status/1380230947472171013,"Apr 08, 2021"
"6 million people have now had their second jab.

Yesterday over 400,000 second doses were given.

A huge thank you to everyone helping to make this happen – it is an incredible achievement that has already saved thousands of lives.",,,https://twitter.com/BorisJohnson/status/1380196338848124930,"Apr 08, 2021"
"It was fantastic to meet with businesses in Cornwall to hear how they are preparing to reopen and welcome customers back on Monday.

The next stage in our roadmap is a significant step towards reclaiming the freedoms COVID has taken from us.",https://t.co/s7Ry99TIsX,http://t.co/s7Ry99TIsX,https://twitter.com/BorisJohnson/status/1380117405180043266,"Apr 08, 2021"
"Sad to hear about the loss of Peter Ainsworth - a delightful colleague & passionate about his causes, especially the environment. We shared a corridor & often found ourselves charging late for the division. He has been taken far too young. My thoughts with Claire & their family.",,,https://twitter.com/BorisJohnson/status/1380071798746853377,"Apr 08, 2021"
"I am deeply concerned by the scenes of violence in Northern Ireland, especially attacks on PSNI who are protecting the public and businesses, attacks on a bus driver and the assault of a journalist. The way to resolve differences is through dialogue, not violence or criminality.",,,https://twitter.com/BorisJohnson/status/1379895030077394950,"Apr 07, 2021"
"We set out our roadmap and we’re sticking to it.
 
Thanks to your efforts and the vaccine rollout, from Monday we will move to Step Two of our roadmap – reopening shops, gyms, hairdressers and outdoor hospitality of all kinds.",https://t.co/LJojqMpAuY,http://t.co/LJojqMpAuY,https://twitter.com/BorisJohnson/status/1379877984891441152,"Apr 07, 2021"
"We will follow today’s updated advice, which should allow people of all ages to continue to have full confidence in vaccines, helping us save lives and cautiously return towards normality. 3/3",,,https://twitter.com/BorisJohnson/status/1379818905036800001,"Apr 07, 2021"
"As the regulators have said, this vaccine is safe, effective and has already saved thousands of lives – and the vast majority of people should continue to take it when offered. 2/3",,,https://twitter.com/BorisJohnson/status/1379818903061291009,"Apr 07, 2021"
"Thank you @MHRAgovuk and JCVI for your important work looking at the AstraZeneca vaccine, which has updated on the potential for extremely rare side effects. 1/3",,,https://twitter.com/BorisJohnson/status/1379818900964130819,"Apr 07, 2021"
"The Moderna vaccine rollout begins today, starting with Carmarthen in Wales. We have ordered 17 million doses that will be going into arms across the UK in the coming weeks.

Please get your jab as soon as you are contacted.",https://t.co/i9fAMASKD3,http://t.co/i9fAMASKD3,https://twitter.com/BorisJohnson/status/1379684894637457410,"Apr 07, 2021"
".@AstraZeneca has been at the heart of our fight against coronavirus, and they are also playing a big part in our efforts to #BuildBackBetter from the pandemic and make the UK a science superpower.",https://t.co/3TtBKzv80x,http://t.co/3TtBKzv80x,https://twitter.com/BorisJohnson/status/1379511363018625027,"Apr 06, 2021"
"Very promising news that the @ValnevaSE vaccine shows a strong immune response and will progress to Phase 3 trials.

If it is successful and meets our robust safety standards this vaccine will be manufactured in Scotland, providing a crucial weapon in our battle against COVID.",https://t.co/Xr79bIGsmS,http://t.co/Xr79bIGsmS,https://twitter.com/BorisJohnson/status/1379394496916492290,"Apr 06, 2021"
"I spoke to President Zelenskyy @ZelenskyyUa this evening regarding our concerns about destabilising Russian military activity on Ukraine’s border.

I reiterated the UK’s unwavering support for Ukraine’s sovereignty and territorial integrity.",,,https://twitter.com/BorisJohnson/status/1379156262420688896,"Apr 05, 2021"
"We set out our roadmap and we’re sticking to it.

It is by being cautious, by monitoring the data at every stage, and by following the rules – remembering hands, face, space and fresh air – that we hope together to make this roadmap to freedom irreversible.",https://t.co/EQM74Muu3p,http://t.co/EQM74Muu3p,https://twitter.com/BorisJohnson/status/1379127672480141317,"Apr 05, 2021"
WATCH LIVE: An update on COVID-19 (5 April 2021),https://t.co/7MwrBSklfm,http://t.co/7MwrBSklfm,https://twitter.com/BorisJohnson/status/1379100965282930688,"Apr 05, 2021"
"Always full of wise advice and good humour, she was much loved on all sides of the House of Commons and will be sorely missed. My sincere condolences to her family and friends. (2/2)",,,https://twitter.com/BorisJohnson/status/1379072834237042699,"Apr 05, 2021"
"I’m very sad to hear the news of the death of Dame Cheryl Gillan. 

She was a great servant to the people of Chesham and Amersham, to the Conservative Party and to the country as Secretary of State for Wales. (1/2)",,,https://twitter.com/BorisJohnson/status/1379072832970317828,"Apr 05, 2021"
"The arrival of Easter brings with it new hope.

And, this year more than ever, it brings the promise of brighter days ahead for us all.

So stay safe, keep following the rules, and have a very happy Easter.",https://t.co/BQs4oCn57N,http://t.co/BQs4oCn57N,https://twitter.com/BorisJohnson/status/1378610899926331394,"Apr 04, 2021"
